"","ent","year","migr","equal_marriage","from_equal","from_non_equal","unempl","income","lgbt","discrim","dm_migr","dm_unemp","dm_income","Estado","Vivienda"
"862",26,2020,0.0263508118179398,0,19,73,0.570962069831701,8242.23587950511,0.63448275862069,0.0489130434782609,-0.00262965518486915,0.00329264531741935,0.00329264531741935,"Sonora",119.71
"863",26,2020,0.0263508118179398,0,19,73,0.570962069831701,8242.23587950511,0.63448275862069,0.0489130434782609,-0.00262965518486915,0.00329264531741935,0.00329264531741935,"Sonora",129.81
"864",26,2020,0.0263508118179398,0,19,73,0.570962069831701,8242.23587950511,0.63448275862069,0.0489130434782609,-0.00262965518486915,0.00329264531741935,0.00329264531741935,"Sonora",137.86
"865",26,2021,0.0303547066848568,0,6,80,0.537421100090171,8600.73422286332,0.63448275862069,0.0489130434782609,0.00137423968204776,-0.03024832442411,-0.03024832442411,"Sonora",98.09
"866",26,2021,0.0303547066848568,0,6,80,0.537421100090171,8600.73422286332,0.63448275862069,0.0489130434782609,0.00137423968204776,-0.03024832442411,-0.03024832442411,"Sonora",103.79
"867",26,2021,0.0303547066848568,0,6,80,0.537421100090171,8600.73422286332,0.63448275862069,0.0489130434782609,0.00137423968204776,-0.03024832442411,-0.03024832442411,"Sonora",111.07
"868",26,2021,0.0303547066848568,0,6,80,0.537421100090171,8600.73422286332,0.63448275862069,0.0489130434782609,0.00137423968204776,-0.03024832442411,-0.03024832442411,"Sonora",119.71
"869",26,2021,0.0303547066848568,0,6,80,0.537421100090171,8600.73422286332,0.63448275862069,0.0489130434782609,0.00137423968204776,-0.03024832442411,-0.03024832442411,"Sonora",129.81
"870",26,2021,0.0303547066848568,0,6,80,0.537421100090171,8600.73422286332,0.63448275862069,0.0489130434782609,0.00137423968204776,-0.03024832442411,-0.03024832442411,"Sonora",137.86
"871",26,2022,0.0198187995469989,1,64,3,0.563012295081967,9141.92908653846,0.63448275862069,0.0489130434782609,-0.00916166745581012,-0.004657129432314,-0.004657129432314,"Sonora",98.09
