,ent,migr,year,quarter,cve,equal_marriage,from_equal,from_non_equal,p1,p6b2
108,13,0.02467207995003123,2020,1,13,1,55.0,24.0,0.5423469387755102,6733.454519368723
109,14,0.007728638900815801,2020,1,14,0,12.0,23.0,0.5823523782180113,7680.8074398249455
110,15,0.004789977892409728,2020,1,15,0,11.0,15.0,0.5355545617173524,6239.720905172414
111,16,0.028968371268105232,2020,1,16,1,77.0,21.0,0.56368843069874,7039.456092579986
112,17,0.005351170568561873,2020,1,17,1,6.0,10.0,0.5077191235059761,5370.484662576687
113,18,0.04386467889908257,2020,1,18,1,102.0,48.0,0.5877954655089243,7093.802576981874
114,19,0.022772060433544995,2020,1,19,1,67.0,35.0,0.5535590191601311,9419.025656689066
115,20,0.05106638630219285,2020,1,20,1,148.0,21.0,0.5590922783411989,5907.796464646464
116,21,0.009571788413098237,2020,1,21,0,7.0,29.0,0.5488594762038862,6078.2739191073915
117,22,0.018922852983988356,2020,1,22,0,24.0,39.0,0.5243168133395091,7935.790860436394
118,23,0.052647233789411066,2020,1,23,1,107.0,67.0,0.598721689592886,7674.49594438007
119,24,0.0222043873729267,2020,1,24,1,53.0,28.0,0.5403504855452618,7253.124749642347
120,25,0.017777777777777778,2020,1,25,0,4.0,63.0,0.5775376480055179,8137.902380952381
121,26,0.026350811817939846,2020,1,26,0,19.0,73.0,0.5709620698317006,8242.23587950511
122,27,0.0327007299270073,2020,1,27,0,43.0,66.0,0.5242933893950011,6753.489056603774
123,28,0.029992548435171386,2020,1,28,0,37.0,117.0,0.5563450927938471,7270.743083003953
124,29,0.009242695289206918,2020,1,29,0,6.0,24.0,0.5393875642823749,5333.509648427174
125,30,0.03838259441707718,2020,1,30,0,45.0,141.0,0.509949892627058,6077.274689589302
126,31,0.021415017619951206,2020,1,31,0,27.0,52.0,0.5974452127036213,6385.272395714612
127,32,0.029295774647887324,2020,1,32,0,18.0,83.0,0.5279510148542919,7050.857317073171
128,1,0.003497444175410277,2021,1,1,1,5.0,8.0,0.5341176470588235,7302.315269365636
129,2,0.010458759210839077,2021,1,2,0,11.0,30.0,0.5479757730315589,9255.109435173299
130,3,0.07943713118474807,2021,1,3,1,112.0,61.0,0.5565288246078631,9737.15322580645
131,4,0.061136363636363635,2021,1,4,1,140.0,126.0,0.5525305721681693,7829.901561932437
132,5,0.02698339483394834,2021,1,5,1,88.0,29.0,0.5383419689119171,8598.134474327628
133,6,0.03011329755515802,2021,1,6,1,52.0,47.0,0.5624250499666889,7848.961061946903
134,7,0.040153349475383376,2021,1,7,1,151.0,20.0,0.5210396039603961,6230.534918276375
135,8,0.01984672823737473,2021,1,8,1,63.0,32.0,0.5421675774134791,8730.538596107588
136,9,0.010133765707336847,2021,1,9,1,8.0,15.0,0.46230631704410013,8120.159613059251
137,10,0.022877784467188442,2021,1,10,0,14.0,60.0,0.5280275964026118,6917.274807197943
138,11,0.008695652173913044,2021,1,11,0,9.0,34.0,0.5353242320819113,7024.177179150241
139,12,0.040342298288508556,2021,1,12,0,10.0,52.0,0.519567354965585,6211.186413043478
140,13,0.04366654637315049,2021,1,13,1,98.0,22.0,0.49820311460135763,6984.485752153744
141,14,0.009067048437127178,2021,1,14,0,13.0,25.0,0.5545426921908234,7962.385381253035
142,15,0.005802146794313896,2021,1,15,0,10.0,10.0,0.4822830468915765,6714.156376929326
143,16,0.045104510451045104,2021,1,16,1,69.0,13.0,0.5335665864858955,7406.884528642309
144,17,0.008176614881439084,2021,1,17,1,14.0,6.0,0.4871542889232065,6092.281119714115
145,18,0.048266166822867856,2021,1,18,1,73.0,29.0,0.5747818861653511,7856.955218216319
146,19,0.0245,2021,1,19,1,62.0,34.0,0.5218833600856073,9762.854680950162
147,20,0.05747468731387731,2021,1,20,1,178.0,15.0,0.5494963192561023,5946.692626131953
148,21,0.017641293694870958,2021,1,21,1,41.0,12.0,0.512653244854347,5996.206322795341
149,22,0.02314165497896213,2021,1,22,0,32.0,31.0,0.5003393511605809,8071.8129130655825
150,23,0.04427202190780465,2021,1,23,1,50.0,45.0,0.5404002965159377,7253.035636679704
151,24,0.02832512315270936,2021,1,24,1,49.0,14.0,0.5186138274146509,8660.200729927008
152,25,0.021350078492935635,2021,1,25,0,7.0,59.0,0.5434416677456947,8511.62368112544
153,26,0.030354706684856753,2021,1,26,0,6.0,80.0,0.5374211000901713,8600.734222863324
154,27,0.028066855881425417,2021,1,27,0,16.0,67.0,0.492967332123412,6940.539584934666
155,28,0.03845336732526025,2021,1,28,0,42.0,134.0,0.5306269733874606,7751.262447926999
156,29,0.007142857142857143,2021,1,29,1,14.0,2.0,0.49468844141430157,5258.859552765791
157,30,0.040191118605958406,2021,1,30,0,32.0,109.0,0.4814949531690461,6620.150508837708
158,31,0.028365601080594327,2021,1,31,0,18.0,42.0,0.5725302974660301,6840.205893909627
159,32,0.06736965436438196,2021,1,32,0,33.0,193.0,0.5204970386714667,7239.850310008857
160,1,0.006592292089249493,2022,1,1,1,22.0,3.0,0.546913033857048,8119.059620596206
161,2,0.009262832883056734,2022,1,2,1,41.0,4.0,0.5685252275337987,10592.644011284945
162,3,0.07065997130559541,2022,1,3,1,172.0,24.0,0.5946786454733932,11052.940113750417
163,4,0.045707915273132664,2022,1,4,1,104.0,99.0,0.542910447761194,8617.286683327384
164,5,0.01483679525222552,2022,1,5,1,62.0,12.0,0.5399527983816588,9181.42818336163
165,6,0.03158256093374528,2022,1,6,1,53.0,37.0,0.5805442602439788,8419.94351090454
166,7,0.0345873786407767,2022,1,7,1,155.0,11.0,0.533734858225621,6666.904279111376
167,8,0.016519617045241224,2022,1,8,1,62.0,23.0,0.5619652465378848,9550.412358642972
168,9,0.016792323509252912,2022,1,9,1,26.0,20.0,0.5410674778761062,9099.896777442094
169,10,0.018568952711067097,2022,1,10,0,17.0,55.0,0.5528472368144568,7524.619978969506
170,11,0.007754870436920749,2022,1,11,1,27.0,11.0,0.5595626631853786,7681.338421282163
171,12,0.01675485008818342,2022,1,12,0,8.0,30.0,0.5268155677410726,6165.901361796099
172,13,0.022756827048114433,2022,1,13,1,59.0,11.0,0.5146858346759202,7403.3088144009935
173,14,0.009333899024183284,2022,1,14,0,20.0,22.0,0.5826771653543307,8165.670678083777
174,15,0.00544006217213911,2022,1,15,0,15.0,13.0,0.5274031340141888,6872.827731092437
175,16,0.02305389221556886,2022,1,16,1,70.0,7.0,0.5615330520393812,8086.0329670329675
176,17,0.004874390701162355,2022,1,17,1,11.0,2.0,0.49796400893208986,6205.128765505021
177,18,0.046800112771356074,2022,1,18,1,139.0,25.0,0.5966427441917042,8293.090969162995
178,19,0.02124526714345814,2022,1,19,1,69.0,31.0,0.5410802586534804,10336.728165482658
179,20,0.04608433734939759,2022,1,20,1,139.0,11.0,0.5503816793893129,6353.566042780749
180,21,0.00870942201108472,2022,1,21,1,27.0,4.0,0.5392799468034578,6566.235327963176
181,22,0.008677438659485339,2022,1,22,1,20.0,8.0,0.5201286326822296,8571.2974284328
182,23,0.039534171008274596,2022,1,23,1,103.0,22.0,0.5824571112340896,8542.414389799636
183,24,0.023762376237623763,2022,1,24,1,68.0,15.0,0.5332506762849414,7842.6842584167425
184,25,0.014447592067988669,2022,1,25,1,45.0,1.0,0.535075493612079,9508.072624190065
185,26,0.019818799546998868,2022,1,26,1,64.0,3.0,0.5630122950819673,9141.929086538461
186,27,0.02073019801980198,2022,1,27,0,20.0,47.0,0.5151442307692308,7731.642720568151
187,28,0.023998451712792725,2022,1,28,0,37.0,84.0,0.5425227349275851,8437.549410029498
188,29,0.013772455089820359,2022,1,29,1,37.0,8.0,0.5327878298951251,5900.220877051385
189,30,0.04286945282205946,2022,1,30,0,38.0,160.0,0.48998032500182176,6977.78411234542
190,31,0.026883308714918758,2022,1,31,1,82.0,8.0,0.5853537237349248,7269.735382308845
191,32,0.03815715093273036,2022,1,32,1,115.0,16.0,0.5257162192646063,7700.369206349206
